id,propertyId,fullAddress,roomNumber,occupancyType,bedrooms,listingSqft,unitSqft,availableDate,minimumStay,minimumPrice,maximumPrice
9763,ENTUS-100017982,"70 Richmond Ave, 912, Houston, TX, 77006 USA",912,PRIVATE,0,0.0,,2024-06-15,3,180000,180000
9774,ENTUS-100017982,"70 Richmond Ave, 926-1, Houston, TX, 77006 USA",926-1,SHARED,3,,,2024-06-15,3,132000,132000
9500,ENTUS-100017982,"70 Richmond Ave, 457-1, Houston, TX, 77006 USA",457-1,SHARED,3,,,2024-06-15,3,121500,121500
9551,ENTUS-100017982,"70 Richmond Ave, 554, Houston, TX, 77006 USA",554,PRIVATE,0,0.0,,2024-06-15,3,150500,150500
9613,ENTUS-100017982,"70 Richmond Ave, 656-3, Houston, TX, 77006 USA",656-3,SHARED,4,,,2024-06-15,3,124000,124000
9863,ENTUS-100017982,"70 Richmond Ave, 927-2, Houston, TX, 77006 USA",927-2,SHARED,2,,,2024-06-15,3,124000,124000
9545,ENTUS-100017982,"70 Richmond Ave, 542, Houston, TX, 77006 USA",542,PRIVATE,0,0.0,,2024-06-15,3,154500,154500
9467,ENTUS-100017982,"70 Richmond Ave, 407-3, Houston, TX, 77006 USA",407-3,SHARED,3,,,2024-06-15,3,123500,123500
9700,ENTUS-100017982,"70 Richmond Ave, 807-1, Houston, TX, 77006 USA",807-1,SHARED,3,,,2024-06-15,3,123500,123500
9523,ENTUS-100017982,"70 Richmond Ave, 508, Houston, TX, 77006 USA",508,PRIVATE,0,0.0,,2024-06-15,3,154500,154500
9731,ENTUS-100017982,"70 Richmond Ave, 854, Houston, TX, 77006 USA",854,PRIVATE,0,0.0,,2024-06-15,3,152500,152500
9481,ENTUS-100017982,"70 Richmond Ave, 428, Houston, TX, 77006 USA",428,PRIVATE,0,0.0,,2024-06-15,3,160000,160000
9773,ENTUS-100017982,"70 Richmond Ave, 926-2, Houston, TX, 77006 USA",926-2,SHARED,3,,,2024-06-15,3,132000,132000
9587,ENTUS-100017982,"70 Richmond Ave, 620, Houston, TX, 77006 USA",620,PRIVATE,0,0.0,,2024-06-15,3,161000,161000
9503,ENTUS-100017982,"70 Richmond Ave, 458-2, Houston, TX, 77006 USA",458-2,SHARED,4,,,2024-06-15,3,123000,123000
9602,ENTUS-100017982,"70 Richmond Ave, 638, Houston, TX, 77006 USA",638,PRIVATE,0,0.0,,2024-06-15,3,168000,168000
9777,ENTUS-100017982,"70 Richmond Ave, 928, Houston, TX, 77006 USA",928,PRIVATE,0,0.0,,2024-06-15,3,162500,162500
9755,ENTUS-100017982,"70 Richmond Ave, 904, Houston, TX, 77006 USA",904,PRIVATE,0,0.0,,2024-06-15,3,155500,155500
9710,ENTUS-100017982,"70 Richmond Ave, 823, Houston, TX, 77006 USA",823,PRIVATE,0,0.0,,2024-06-15,3,148500,148500
9855,ENTUS-100017982,"70 Richmond Ave, 827-2, Houston, TX, 77006 USA",827-2,SHARED,2,,,2024-06-15,3,124000,124000
9687,ENTUS-100017982,"70 Richmond Ave, 760-1, Houston, TX, 77006 USA",760-1,SHARED,4,,,2024-06-15,3,132000,132000
9572,ENTUS-100017982,"70 Richmond Ave, 602-1, Houston, TX, 77006 USA",602-1,SHARED,3,,,2024-06-15,3,125000,125000
9475,ENTUS-100017982,"70 Richmond Ave, 422, Houston, TX, 77006 USA",422,PRIVATE,0,0.0,,2024-06-15,3,160000,160000
9600,ENTUS-100017982,"70 Richmond Ave, 634, Houston, TX, 77006 USA",634,PRIVATE,0,0.0,,2024-06-15,3,161000,161000
9606,ENTUS-100017982,"70 Richmond Ave, 643, Houston, TX, 77006 USA",643,PRIVATE,0,0.0,,2024-06-15,3,144500,144500
9689,ENTUS-100017982,"70 Richmond Ave, 761-3, Houston, TX, 77006 USA",761-3,SHARED,3,,,2024-06-15,3,125000,125000
9803,ENTUS-100017982,"70 Richmond Ave, 960-4, Houston, TX, 77006 USA",960-4,SHARED,4,,,2024-06-15,3,131500,131500
9542,ENTUS-100017982,"70 Richmond Ave, 538, Houston, TX, 77006 USA",538,PRIVATE,0,0.0,,2024-06-15,3,167500,167500
9608,ENTUS-100017982,"70 Richmond Ave, 645, Houston, TX, 77006 USA",645,PRIVATE,0,0.0,,2024-06-15,3,168000,168000
9555,ENTUS-100017982,"70 Richmond Ave, 556-1, Houston, TX, 77006 USA",556-1,SHARED,4,,,2024-06-15,3,131000,131000
9688,ENTUS-100017982,"70 Richmond Ave, 761-2, Houston, TX, 77006 USA",761-2,SHARED,3,,,2024-06-15,3,122500,122500
9789,ENTUS-100017982,"70 Richmond Ave, 956-2, Houston, TX, 77006 USA",956-2,SHARED,4,,,2024-06-15,3,125000,125000
9692,ENTUS-100017982,"70 Richmond Ave, 802-2, Houston, TX, 77006 USA",802-2,SHARED,3,,,2024-06-15,3,125000,125000
9466,ENTUS-100017982,"70 Richmond Ave, 407-2, Houston, TX, 77006 USA",407-2,SHARED,3,,,2024-06-15,3,121000,121000
9599,ENTUS-100017982,"70 Richmond Ave, 632, Houston, TX, 77006 USA",632,PRIVATE,0,0.0,,2024-06-15,3,161000,161000
9535,ENTUS-100017982,"70 Richmond Ave, 526-1, Houston, TX, 77006 USA",526-1,SHARED,3,,,2024-06-15,3,130500,130500
9527,ENTUS-100017982,"70 Richmond Ave, 516, Houston, TX, 77006 USA",516,PRIVATE,0,0.0,,2024-06-15,3,160500,160500
9604,ENTUS-100017982,"70 Richmond Ave, 641, Houston, TX, 77006 USA",641,PRIVATE,0,0.0,,2024-06-15,3,144500,144500
9690,ENTUS-100017982,"70 Richmond Ave, 761-1, Houston, TX, 77006 USA",761-1,SHARED,3,,,2024-06-15,3,123000,123000
