id,name,months,amount,concessionsApplied
9074,12 Months,12,124379,['1 Month off 12 Months']
9074,11 Months,11,141375,[]
9074,10 Months,10,141375,[]
9074,9 Months,9,141375,[]
9074,8 Months,8,141375,[]
9074,7 Months,7,141375,[]
9074,6 Months,6,130754,['2 Weeks off 6 Months']
9074,5 Months,5,147750,[]
9074,4 Months,4,147750,[]
9074,3 Months,3,147750,[]
9078,12 Months,12,124379,['1 Month off 12 Months']
9078,11 Months,11,141375,[]
9078,10 Months,10,141375,[]
9078,9 Months,9,141375,[]
9078,8 Months,8,141375,[]
9078,7 Months,7,141375,[]
9078,6 Months,6,130754,['2 Weeks off 6 Months']
9078,5 Months,5,147750,[]
9078,4 Months,4,147750,[]
9078,3 Months,3,147750,[]
9064,12 Months,12,124379,['1 Month off 12 Months']
9064,11 Months,11,141375,[]
9064,10 Months,10,141375,[]
9064,9 Months,9,141375,[]
9064,8 Months,8,141375,[]
9064,7 Months,7,141375,[]
9064,6 Months,6,130754,['2 Weeks off 6 Months']
9064,5 Months,5,147750,[]
9064,4 Months,4,147750,[]
9064,3 Months,3,147750,[]
9090,12 Months,12,124379,['1 Month off 12 Months']
9090,11 Months,11,141375,[]
9090,10 Months,10,141375,[]
9090,9 Months,9,141375,[]
9090,8 Months,8,141375,[]
9090,7 Months,7,141375,[]
9090,6 Months,6,130754,['2 Weeks off 6 Months']
9090,5 Months,5,147750,[]
9090,4 Months,4,147750,[]
9090,3 Months,3,147750,[]
9091,12 Months,12,124379,['1 Month off 12 Months']
9091,11 Months,11,141375,[]
9091,10 Months,10,141375,[]
9091,9 Months,9,141375,[]
9091,8 Months,8,141375,[]
9091,7 Months,7,141375,[]
9091,6 Months,6,130754,['2 Weeks off 6 Months']
9091,5 Months,5,147750,[]
9091,4 Months,4,147750,[]
9091,3 Months,3,147750,[]
9043,12 Months,12,124379,['1 Month off 12 Months']
9043,11 Months,11,141375,[]
9043,10 Months,10,141375,[]
9043,9 Months,9,141375,[]
9043,8 Months,8,141375,[]
9043,7 Months,7,141375,[]
9043,6 Months,6,130754,['2 Weeks off 6 Months']
9043,5 Months,5,147750,[]
9043,4 Months,4,147750,[]
9043,3 Months,3,147750,[]
9035,12 Months,12,124379,['1 Month off 12 Months']
9035,11 Months,11,141375,[]
9035,10 Months,10,141375,[]
9035,9 Months,9,141375,[]
9035,8 Months,8,141375,[]
9035,7 Months,7,141375,[]
9035,6 Months,6,130754,['2 Weeks off 6 Months']
9035,5 Months,5,147750,[]
9035,4 Months,4,147750,[]
9035,3 Months,3,147750,[]
9081,12 Months,12,124379,['1 Month off 12 Months']
9081,11 Months,11,141375,[]
9081,10 Months,10,141375,[]
9081,9 Months,9,141375,[]
9081,8 Months,8,141375,[]
9081,7 Months,7,141375,[]
9081,6 Months,6,130754,['2 Weeks off 6 Months']
9081,5 Months,5,147750,[]
9081,4 Months,4,147750,[]
9081,3 Months,3,147750,[]
9098,12 Months,12,124379,['1 Month off 12 Months']
9098,11 Months,11,141375,[]
9098,10 Months,10,141375,[]
9098,9 Months,9,141375,[]
9098,8 Months,8,141375,[]
9098,7 Months,7,141375,[]
9098,6 Months,6,130754,['2 Weeks off 6 Months']
9098,5 Months,5,147750,[]
9098,4 Months,4,147750,[]
9098,3 Months,3,147750,[]
5363,13 Months,13,185000,[]
5363,12 Months,12,185000,[]
5363,11 Months,11,194250,[]
5363,10 Months,10,194250,[]
5363,9 Months,9,194250,[]
5363,8 Months,8,194250,[]
5363,7 Months,7,194250,[]
5363,6 Months,6,194250,[]
5403,13 Months,13,190000,[]
5403,12 Months,12,190000,[]
5403,11 Months,11,199500,[]
5403,10 Months,10,199500,[]
5403,9 Months,9,199500,[]
5403,8 Months,8,199500,[]
5403,7 Months,7,199500,[]
5403,6 Months,6,199500,[]
5326,13 Months,13,160900,[]
5326,12 Months,12,160900,[]
5326,11 Months,11,168945,[]
5326,10 Months,10,168945,[]
5326,9 Months,9,168945,[]
5326,8 Months,8,168945,[]
5326,7 Months,7,168945,[]
5326,6 Months,6,168945,[]
5476,13 Months,13,113900,[]
5476,12 Months,12,113900,[]
5476,11 Months,11,119595,[]
5476,10 Months,10,119595,[]
5476,9 Months,9,119595,[]
5476,8 Months,8,119595,[]
5476,7 Months,7,119595,[]
5476,6 Months,6,119595,[]
5355,13 Months,13,112400,[]
5355,12 Months,12,112400,[]
5355,11 Months,11,118020,[]
5355,10 Months,10,118020,[]
5355,9 Months,9,118020,[]
5355,8 Months,8,118020,[]
5355,7 Months,7,118020,[]
5355,6 Months,6,118020,[]
5358,13 Months,13,142900,[]
5358,12 Months,12,142900,[]
5358,11 Months,11,150045,[]
5358,10 Months,10,150045,[]
5358,9 Months,9,150045,[]
5358,8 Months,8,150045,[]
5358,7 Months,7,150045,[]
5358,6 Months,6,150045,[]
5447,13 Months,13,141700,[]
5447,12 Months,12,141700,[]
5447,11 Months,11,148785,[]
5447,10 Months,10,148785,[]
5447,9 Months,9,148785,[]
5447,8 Months,8,148785,[]
5447,7 Months,7,148785,[]
5447,6 Months,6,148785,[]
5316,13 Months,13,99900,[]
5316,12 Months,12,99900,[]
5316,11 Months,11,104895,[]
5316,10 Months,10,104895,[]
5316,9 Months,9,104895,[]
5316,8 Months,8,104895,[]
5316,7 Months,7,104895,[]
5316,6 Months,6,104895,[]
5308,13 Months,13,159400,[]
5308,12 Months,12,159400,[]
5308,11 Months,11,167370,[]
5308,10 Months,10,167370,[]
5308,9 Months,9,167370,[]
5308,8 Months,8,167370,[]
5308,7 Months,7,167370,[]
5308,6 Months,6,167370,[]
5329,13 Months,13,136900,[]
5329,12 Months,12,136900,[]
5329,11 Months,11,143745,[]
5329,10 Months,10,143745,[]
5329,9 Months,9,143745,[]
5329,8 Months,8,143745,[]
5329,7 Months,7,143745,[]
5329,6 Months,6,143745,[]
5330,13 Months,13,181400,[]
5330,12 Months,12,181400,[]
5330,11 Months,11,190470,[]
5330,10 Months,10,190470,[]
